time,value,date
01:46:02,68,2022-11-26
01:46:12,69,2022-11-26
01:46:17,69,2022-11-26
01:46:22,68,2022-11-26
01:46:32,69,2022-11-26
01:46:47,69,2022-11-26
01:46:52,68,2022-11-26
01:46:57,65,2022-11-26
01:47:02,64,2022-11-26
01:47:12,64,2022-11-26
01:47:27,66,2022-11-26
01:47:32,69,2022-11-26
01:47:37,70,2022-11-26
01:47:52,69,2022-11-26
01:47:57,67,2022-11-26
01:48:12,67,2022-11-26
01:48:17,66,2022-11-26
01:48:32,66,2022-11-26
01:48:37,67,2022-11-26
01:48:42,68,2022-11-26
01:48:47,73,2022-11-26
01:48:52,75,2022-11-26
01:48:57,76,2022-11-26
01:49:02,75,2022-11-26
01:49:07,76,2022-11-26
01:49:22,78,2022-11-26
01:49:27,77,2022-11-26
01:49:32,75,2022-11-26
01:49:47,75,2022-11-26
01:50:02,75,2022-11-26
01:50:17,75,2022-11-26
01:50:27,73,2022-11-26
01:50:42,74,2022-11-26
01:50:47,76,2022-11-26
01:50:57,77,2022-11-26
01:51:02,78,2022-11-26
01:51:07,79,2022-11-26
01:51:12,78,2022-11-26
01:51:24,79,2022-11-26
01:51:34,80,2022-11-26
01:51:39,81,2022-11-26
01:51:44,82,2022-11-26
01:51:49,78,2022-11-26
01:51:54,75,2022-11-26
01:51:59,74,2022-11-26
01:52:14,73,2022-11-26
01:52:29,72,2022-11-26
01:52:34,68,2022-11-26
01:52:39,66,2022-11-26
01:52:44,66,2022-11-26
01:52:59,66,2022-11-26
01:53:09,67,2022-11-26
01:53:14,66,2022-11-26
01:53:19,65,2022-11-26
01:53:24,64,2022-11-26
01:53:39,64,2022-11-26
01:53:49,65,2022-11-26
01:53:54,65,2022-11-26
01:53:59,64,2022-11-26
01:54:14,64,2022-11-26
01:54:19,63,2022-11-26
01:54:34,64,2022-11-26
01:54:39,62,2022-11-26
01:54:44,61,2022-11-26
01:54:49,60,2022-11-26
01:54:54,60,2022-11-26
01:54:59,61,2022-11-26
01:55:04,65,2022-11-26
01:55:09,66,2022-11-26
01:55:24,68,2022-11-26
01:55:34,67,2022-11-26
01:55:49,66,2022-11-26
01:55:54,65,2022-11-26
01:56:04,64,2022-11-26
